customer_id,first_name,last_name,email,age,age_category,registration_date,city,country
1,Daniel,Figueroa,jeffreydoyle@example.net,58,55+,2025-08-28,New Roberttown,Bermuda
2,Jesse,Guzman,jennifermiles@example.com,25,25-34,2023-11-13,South Bridget,Sudan
3,Katherine,Moore,jpeterson@example.org,19,18-24,2022-12-19,Curtisfurt,Bhutan
4,Melanie,Munoz,blairamanda@example.com,65,55+,2024-06-18,New Kellystad,Morocco
5,Janet,Williams,kendragalloway@example.org,35,35-44,2023-10-03,South Joshuastad,Central African Republic
6,Michael,Santiago,lynchgeorge@example.net,33,25-34,2024-07-06,East Steven,Faroe Islands
7,Hailey,Robinson,megan03@example.org,32,25-34,2025-08-29,Richardland,Croatia
8,Nancy,Edwards,pfoster@example.com,26,25-34,2025-05-08,West Donald,Samoa
9,Amber,Burgess,zhurst@example.com,65,55+,2025-04-29,East William,Bermuda
10,Michelle,Hernandez,laurahenderson@example.org,24,18-24,2023-02-20,Jamesmouth,Marshall Islands
11,Tasha,Valencia,frazierdanny@example.net,61,55+,2024-01-03,Kaylamouth,Bouvet Island (Bouvetoya)
12,Ryan,Chavez,teresa28@example.org,65,55+,2024-03-08,Meaganhaven,New Caledonia
13,Eric,Farmer,georgetracy@example.org,75,55+,2023-10-13,Natashaport,Dominican Republic
14,John,Bradley,millertodd@example.org,52,45-54,2023-03-08,East Donna,Yemen
15,Frederick,Rose,ibrandt@example.net,23,18-24,2025-04-11,Lake Larry,Paraguay
16,Nathaniel,Lam,omartinez@example.org,55,55+,2025-09-13,Andrewside,Denmark
17,Jeffrey,Jones,perezrebecca@example.com,45,45-54,2025-06-10,New Johnfort,Croatia
18,David,Walls,esanchez@example.com,20,18-24,2025-03-25,North Collin,Jersey
19,Rodney,Owens,nuneztracey@example.org,19,18-24,2024-06-11,South Jessicaville,Egypt
20,James,West,dwhite@example.org,23,18-24,2023-10-02,South Lindseyside,Bolivia
21,Denise,Fernandez,novaksara@example.org,31,25-34,2023-02-25,South Todd,Croatia
22,Rachel,Martin,gallowayjoseph@example.com,32,25-34,2024-08-22,Rodneyside,Panama
23,Eric,Phillips,rileyamy@example.net,50,45-54,2025-01-03,Brianshire,Lesotho
24,Samantha,Schmidt,yuchristopher@example.org,56,55+,2025-01-28,New Carlosbury,Iraq
25,Shelly,Hudson,harveyrobert@example.net,19,18-24,2023-06-13,Sarahborough,Paraguay
26,John,Foster,stephen10@example.com,53,45-54,2024-04-10,North Amandahaven,Estonia
27,Sarah,Ibarra,mikemoore@example.net,30,25-34,2023-07-02,Cherylhaven,Algeria
28,Lisa,Evans,mcmillandennis@example.org,63,55+,2025-10-11,Lake Angelaview,Finland
29,Jason,Cooper,william40@example.org,59,55+,2025-07-05,Calderonton,Afghanistan
30,Kellie,Walsh,evan78@example.net,62,55+,2024-05-10,Hoffmanville,Belarus
31,Rebecca,Gardner,brandi26@example.org,52,45-54,2025-11-16,West Michaelton,United Arab Emirates
32,Jason,Wright,gomezanita@example.com,44,35-44,2024-06-16,East Michelle,South Georgia and the South Sandwich Islands
33,Nicole,Johnson,kimberly63@example.com,32,25-34,2023-09-10,Port Jacqueline,Hong Kong
34,Michele,Walker,ybailey@example.org,46,45-54,2023-02-07,North Donna,Iran
35,Joshua,Jones,michael86@example.net,55,55+,2024-05-01,Sheilaville,Turkey
36,Gregory,Estes,benjamin96@example.com,35,35-44,2024-01-18,Samuelhaven,Brazil
37,Rachel,Lee,fletcheraaron@example.net,69,55+,2024-07-29,West Ryan,Yemen
38,Samantha,Hanson,cortezkevin@example.com,73,55+,2025-10-05,Nguyenport,Micronesia
39,James,Ortega,lbyrd@example.net,18,18-24,2023-06-24,Richardtown,Gabon
40,Jason,Floyd,steven73@example.net,66,55+,2024-02-27,Leonburgh,Palestinian Territory
41,Justin,Beck,clarence34@example.org,69,55+,2023-04-19,East Andrew,Ecuador
42,Cheryl,Mack,operry@example.net,28,25-34,2024-12-16,Lake Heather,Lithuania
43,John,Douglas,staffordmichelle@example.org,62,55+,2024-08-20,Robinsonhaven,Kyrgyz Republic
44,Angela,Lowery,bryantlaurie@example.net,45,45-54,2023-02-25,Stephaniemouth,New Zealand
45,Ronald,Meadows,vmerritt@example.com,39,35-44,2025-01-31,Greenbury,Tajikistan
46,Joshua,Strickland,rsims@example.com,35,35-44,2025-08-25,Lake Justinview,Grenada
47,Patricia,Miller,jessebenson@example.net,27,25-34,2024-04-18,North Robert,Greenland
48,Steven,Brown,xprice@example.net,31,25-34,2025-03-30,Port Nicoleshire,Hong Kong
49,Adam,Bell,acastaneda@example.net,66,55+,2024-12-18,South Jeffrey,Jordan
50,Anthony,Rogers,dramsey@example.org,39,35-44,2025-01-01,South Brittanytown,Belize
51,Roy,Camacho,brentgray@example.org,24,18-24,2025-09-02,Murphyfurt,Fiji
52,Johnny,Miller,currybrett@example.com,23,18-24,2024-09-23,Lake Casey,Pakistan
53,Karen,Herring,maryhowell@example.org,42,35-44,2023-02-09,South Elizabeth,Mongolia
54,Steven,Scott,gary91@example.org,24,18-24,2023-11-12,Danieltown,Vanuatu
55,Barbara,Odonnell,tsanders@example.org,40,35-44,2024-04-06,New Hannahbury,Bosnia and Herzegovina
56,Kendra,Jefferson,hoganashlee@example.org,72,55+,2025-11-26,Amandastad,Bangladesh
57,Deborah,Smith,gshort@example.com,40,35-44,2025-02-01,Cynthiamouth,Russian Federation
58,Ryan,Gross,christina87@example.com,56,55+,2023-08-03,Petersenshire,Ethiopia
59,Melissa,Rivas,ramirezshannon@example.com,34,25-34,2024-04-22,Rogersfort,Thailand
60,Hunter,Lewis,matthew94@example.net,69,55+,2024-04-26,New Stacyland,Dominican Republic
61,Tracy,Chang,fbrewer@example.com,20,18-24,2024-08-31,North Kellyfurt,Puerto Rico
62,Kevin,Perkins,wtran@example.com,64,55+,2023-12-21,Michaelmouth,Faroe Islands
63,John,Martinez,leslienewton@example.net,47,45-54,2024-03-29,East Javier,Liberia
64,Jenny,Bray,tina34@example.org,52,45-54,2024-02-11,Harrytown,Russian Federation
65,David,Williams,tranheidi@example.org,25,25-34,2025-03-17,Garciatown,Montserrat
66,Taylor,Alexander,tammyking@example.com,42,35-44,2024-02-23,Port Cameronfort,Barbados
67,Crystal,Brown,lisaavery@example.org,23,18-24,2025-05-23,North Angela,Israel
68,Caitlin,Montgomery,chayes@example.com,53,45-54,2025-07-07,Torreston,New Zealand
69,Stacey,Clark,josephmiller@example.org,36,35-44,2023-05-12,New Charles,Afghanistan
70,Shannon,Wheeler,antonio44@example.net,71,55+,2024-09-03,Jonesbury,Uzbekistan
71,Kristin,Weber,ronaldstephens@example.net,58,55+,2024-01-23,West Margaret,Barbados
72,Gabriel,Parker,scott74@example.net,57,55+,2023-03-11,Benderhaven,Mauritius
73,Samuel,George,mnavarro@example.com,74,55+,2025-01-14,North Jeremyshire,Namibia
74,Yvonne,Chambers,barbara27@example.net,73,55+,2023-01-10,Moonburgh,Myanmar
75,Cynthia,Vasquez,harrisonricky@example.com,41,35-44,2024-10-16,Port Eugenechester,Puerto Rico
76,Keith,Landry,gibsonleonard@example.com,54,45-54,2025-01-16,Port Richardhaven,Sweden
77,Diane,Daniels,hbrown@example.com,30,25-34,2022-12-10,Garrettton,Costa Rica
78,Andrea,Pennington,fgilmore@example.org,63,55+,2024-01-27,Lake Chelseabury,Russian Federation
79,Lance,Smith,hdavis@example.com,22,18-24,2023-08-12,Lake Marilynfort,Venezuela
80,William,Hill,pbaird@example.com,20,18-24,2024-03-06,South James,Netherlands Antilles
81,Julie,Taylor,hillkristy@example.com,60,55+,2025-02-05,Sarahhaven,Ethiopia
82,Justin,Evans,cgrimes@example.net,32,25-34,2022-12-12,Reedside,Serbia
83,Nicholas,Cantu,tinaallen@example.com,67,55+,2025-04-01,Port Kimberly,Aruba
84,Julie,Thornton,qhughes@example.net,36,35-44,2024-04-16,South Tammie,Brunei Darussalam
85,Tammy,Rivera,sawyerscott@example.net,23,18-24,2025-01-27,Smithberg,Ireland
86,Tara,Jones,matthew61@example.com,72,55+,2025-09-21,Finleyfort,Tunisia
87,Barry,Jones,wendy16@example.org,32,25-34,2025-03-28,South Garrettport,United Kingdom
88,Brandon,Flynn,michael62@example.org,73,55+,2023-01-22,Knightburgh,Chile
89,Christian,Pitts,tyleraguilar@example.org,24,18-24,2023-09-06,Littlemouth,Equatorial Guinea
90,Albert,Ballard,erica21@example.com,42,35-44,2025-10-09,Vanessaport,Northern Mariana Islands
91,Hannah,Bryant,james67@example.org,35,35-44,2024-09-28,South Ashley,Morocco
92,Victoria,Phillips,khill@example.net,47,45-54,2024-03-12,New Julieport,Singapore
93,Catherine,Gomez,christinebyrd@example.net,58,55+,2023-12-01,Lake Colton,Niue
94,Benjamin,Kramer,rileyjessica@example.org,71,55+,2025-09-08,Markchester,China
95,David,Ryan,alyssa42@example.com,41,35-44,2023-10-16,Coffeyport,San Marino
96,Linda,Mcdonald,taylortammy@example.net,28,25-34,2024-05-18,Coffeyside,Haiti
97,Krystal,Smith,gibsonemily@example.net,41,35-44,2023-04-28,Brendastad,Botswana
98,Jesus,Johnson,rose31@example.net,40,35-44,2025-10-22,Blankenshipport,Pakistan
99,Darryl,Williams,torrestravis@example.org,31,25-34,2024-09-03,New Derek,Korea
100,Ellen,Paul,umatthews@example.org,60,55+,2024-07-07,Penafort,Nicaragua
101,Sheila,Ramirez,jeff73@example.com,35,35-44,2024-09-02,Lake Michaelstad,Bahamas
102,Joshua,Donaldson,ndavis@example.net,62,55+,2024-08-18,North Kristinbury,Brunei Darussalam
103,Jamie,Gallegos,brendali@example.org,61,55+,2025-05-04,Kimtown,Falkland Islands (Malvinas)
104,Vanessa,Fernandez,danieldelacruz@example.org,59,55+,2023-07-21,West Kristybury,Namibia
105,Alfred,Baker,judyfox@example.net,22,18-24,2024-04-24,South Shanestad,Malaysia
106,Daniel,Gordon,acostaregina@example.net,56,55+,2025-06-18,Stephentown,Bahamas
107,Melanie,Simmons,henryrenee@example.org,58,55+,2024-12-22,West Charleneland,Brunei Darussalam
108,Claudia,Richards,oscar98@example.com,28,25-34,2024-02-09,Wagnerchester,Bolivia
109,Danny,Pena,russellbeasley@example.com,52,45-54,2025-12-03,Mariafurt,Israel
110,Larry,Edwards,nicholas27@example.org,64,55+,2023-05-05,Port Christopherchester,Bhutan
111,Lisa,Hawkins,elizabeth65@example.net,33,25-34,2024-07-09,Parrishton,France
112,Larry,Garcia,ericolson@example.org,28,25-34,2025-06-28,Meganstad,Brazil
113,Audrey,Aguirre,lynchdiane@example.net,47,45-54,2024-02-14,Anthonyview,Reunion
114,Sandra,Bell,mollyknight@example.com,42,35-44,2024-04-01,East Joycetown,Bermuda
115,Jason,Barnes,eric45@example.net,35,35-44,2025-03-12,North Ericton,Peru
116,Joseph,Stanley,alawson@example.com,58,55+,2023-04-14,Port William,Guatemala
117,Daniel,Gregory,trose@example.org,62,55+,2024-10-06,South Tracey,Azerbaijan
118,James,Dougherty,kathrynroberts@example.org,53,45-54,2022-12-20,South Julieburgh,Bulgaria
119,Amanda,Hall,charles06@example.org,32,25-34,2024-07-21,Morsemouth,Morocco
120,Ashley,Mckinney,zroberts@example.org,61,55+,2024-10-05,Georgemouth,Switzerland
121,Samantha,Davis,sanchezbrianna@example.net,38,35-44,2025-11-14,South Monicamouth,Cyprus
122,Kimberly,Jones,schmidtjames@example.com,71,55+,2024-05-09,Jessicaberg,Dominica
123,Dwayne,Gonzalez,kathleenrios@example.org,67,55+,2023-05-17,Marshallshire,Senegal
124,Shane,Glass,michelle52@example.com,67,55+,2025-05-27,South Scottport,South Africa
125,Brittany,Bell,collinsshannon@example.org,21,18-24,2024-02-08,Marieland,Oman
126,Christina,Hunter,ycarpenter@example.net,32,25-34,2023-04-28,South Reginashire,Pakistan
127,Marc,Alvarez,susanhayes@example.com,70,55+,2023-09-27,New Debbieton,Egypt
128,Vickie,Warren,michaelhardin@example.com,20,18-24,2024-10-19,Schroederton,Somalia
129,Deborah,Jones,grantpaul@example.com,69,55+,2025-08-15,West Christopher,Panama
130,Sabrina,Collins,tanderson@example.org,38,35-44,2023-07-16,Angelicamouth,Suriname
131,Elizabeth,Calderon,lucasrodney@example.com,43,35-44,2023-06-25,West Kyleborough,Guam
132,James,Cooke,chrisrichard@example.org,35,35-44,2025-01-02,Lake Matthewberg,Nepal
133,Eric,White,jenniferwilliams@example.com,22,18-24,2024-07-16,South Cheryl,Sao Tome and Principe
134,Jesus,Allen,mmckee@example.com,31,25-34,2024-11-05,Murrayport,Slovakia (Slovak Republic)
135,Wesley,Barnes,lisasolis@example.org,54,45-54,2024-07-24,Brettfort,Tunisia
136,Angela,Garcia,mitchellkathryn@example.com,74,55+,2024-07-07,Whiteheadberg,Switzerland
137,Christopher,Lozano,bwilkerson@example.com,63,55+,2024-10-18,South Waynebury,Hungary
138,Nicholas,Johnson,combsdebra@example.org,38,35-44,2023-04-14,North Justin,Switzerland
